title,reply
起诉一定要到被告户口所在地起诉吗,《民事诉讼法》第二十一条对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。对法人或者其他组织提起的民事诉讼，由被告住所地人民法院管辖。同一诉讼的几个被告住所地、经常居住地在两个以上人民法院辖区的，各该人民法院都有管辖权。
怎么起诉，如果起诉了没有能力偿还怎么办,解答如下：1、不管他有没有偿还能力，先按诉讼程序进行，获得法院判决书；2、如果对方不自觉履行，就向法院申请强制执行；3、如果对方确无可供执行的财产，法院也不予执行，但你的实体权利是存在的，将来他有钱了，你仍然可以申请强制执行；4、同时，可以申请从对方工资里面每月分期偿还，或者限制对方高消费；
凭转账记录可以起诉吗,，只有转账记录的借款关系，如果冒然诉讼，风险很大。在很多的民间借贷过程中，借款人和出借人之间都是较好的朋友，同时随着微信、支付宝转款的便捷，很多借款就在没有任何借条的情况下发生了。（当然“借条丢失”的情况也是常见的）。1、转账记录的真实含义转账记录，又可称为“支付凭证”、“付款记录”，其性质和收条的性质十分类似。借条、欠条、收条的区别，相信在很多文章中都有过详细的分析，这里不过多的赘述。既然和收条的性质极为相似，那么所谓的“借款人”收到款项的基础法律关系就会存在多种可能，除了借款，有可能是“还款”、“委托付款”、“货款”甚至是“赠予”。2、完整的借款关系是什么很少人过多的去关注“借条”是什么含义，借条其实是借款双方达借款合意的书面意思表示，他在借款关系中的作用相当于“合同”。所以在民间借贷的民事诉讼中，借条+转账记录是一个完整的借款关系，相当于“合同+履约证明”，当然，小额的借款法律并不强制要求具有转账记录，现金付款也是具备合理性的。3、只有转账记录的风险从上面的分析可以看出，如果出借人手中只有转账记录的话，那么冒然想法院提起诉讼具有很大的风险，假设“借款人”不承认款项为借款，而是编造了一个稍微合理的理由，这里只是强调“稍微合理”，那么出借人就有义务进一步证明该款项的性质为借款，否则就要承担败诉的风险。在司法实践中，如果借款人，也就是被告拒绝出庭，那么法庭面临着对款项性质无法认定的局面，不能草率的推定出借人转出的款项为“借款”，也只能以证据不足为由驳回其请求。4、解决方法其实很简单了解了只有转账记录对借款关系认定的风险，您就应该引起足够的注意。虽然没有借条，但是根据一个人的常规心态，借款人不会在借款之初就否认借款关系的，所以在向其转账后，及时补签借条，或者通过电话录音的方式，确定双方的借贷关系。甚至在感觉到有风险时，提前将能证明双方借款关系的录音留存。录音是具备法律效力的，这点无需讨论，如果通过录音的方式确定了款项的性质，那么一个完整的证据链条就可以形成，让您的权益不会受到损失。Ps：千万不要以为聊天记录可以解决该问题，无论是微信、短信还是qq的聊天记录，虽然是合法有效的，但是不能独立的证明该事实，在证据方式上讲，还属于辅助证据，效力远远低于录音证据。
欠工资还没有欠条怎么起诉,欠条不是欠你工资唯一的证据。如果有其他证据证明公司拖欠工资同样可以起诉
"法院执行对方工程款,对方有什么理由拒绝",一旦到了法院执行阶段，对方是拒绝不了的。除非名下对方没有钱。
侵犯名誉罪起诉时效是多久,要区别具体侵权类型。一般诉讼时效为两年。从知道侵权之日起计算。民法通则第一百三十五条向人民法院请求保护民事权利的诉讼时效期间为二年，法律另有规定的除外。第一百三十六条下列的诉讼时效期间为一年：（一）身体受到伤害要求赔偿的;（二）出售质量不合格的商品未声明的;（三）延付或者拒付租金的;（四）寄存财物被丢失或者损毁的。第一百三十七条诉讼时效期间从知道或者应当知道权利被侵害时起计算。但是，从权利被侵害之日起超过二十年的，人民法院不予保护。有特殊情况的，人民法院可以延长诉讼时效期间。
女方起诉男方有权力报警查女方吗,女方起诉你跟你报警抓女方没有关系。如果你确定女方违法或者是违法社会治安，直接报警。
一般起诉的费用要多少,受理费标准（一）财产案件根据诉讼请求的金额或者价额，按照下列比例分段累计交纳：1.不超过1万元的，每件交纳50元；2.超过1万元至10万元的部分，按照2.5%交纳；3.超过10万元至20万元的部分，按照2%交纳；4.超过20万元至50万元的部分，按照1.5%交纳；5.超过50万元至100万元的部分，按照1%交纳；6.超过100万元至200万元的部分，按照0.9%交纳；7.超过200万元至500万元的部分，按照0.8%交纳；8.超过500万元至1000万元的部分，按照0.7%交纳；9.超过1000万元至2000万元的部分，按照0.6%交纳；10.超过2000万元的部分，按照0.5%交纳。非财产案件标准1.离婚案件每件交纳50元至300元。涉及财产分割，财产总额不超过20万元的，不另行交纳；超过20万元的部分，按照0.5%交纳。2.侵害姓名权、名称权、肖像权、名誉权、荣誉权以及其他人格权的案件，每件交纳100元至500元。涉及损害赔偿，赔偿金额不超过5万元的，不另行交纳；超过5万元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。3.其他非财产案件每件交纳50元至100元。（三）知识产权民事案件，没有争议金额或者价额的，每件交纳500元至1000元；有争议金额或者价额的，按照财产案件的标准交纳。（四）劳动争议案件每件交纳10元。（五）行政案件按照下列标准交纳：1.商标、专利、海事行政案件每件交纳100元；2.其他行政案件每件交纳50元。（六）当事人提出案件管辖权异议，异议不成立的，每件交纳50元至100元。省、自治区、直辖市人民政府可以结合本地实际情况在本条第（二）项、第（三）项、第（六）项规定的幅度内制定具体交纳标准。
我自己起诉律师代替写起诉状费用多少,各地区有一定差异，大致如下：⑴无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；⑵法律文书：代为撰写、修改、审查法律文书，根据法律文书的性质、难易程度、工作所需耗费时间等因素，每份文书在6##－2###元之间协商收费；⑶律师见证：根据法律文书的性质、所需时间等因素，按每件2###－1####元之间协商收费。⑷代办公证：律师代办公证的事务不同，每件15##－3###元之间协商收费；⑸律师函及法律意见书：为委托方出具律师函或法律意见书，根据相关事务难易程度、使用目的、工作所需耗费时间等因素协商收费，每份为15##－2####元之间协商收费。⑹律师调查：按调查事项协商收费。
5万元，起诉，需多少起诉费，和律师费,受理费标准（一）财产案件根据诉讼请求的金额或者价额，按照下列比例分段累计交纳：1.不超过1万元的，每件交纳50元；2.超过1万元至10万元的部分，按照2.5%交纳；3.超过10万元至20万元的部分，按照2%交纳；4.超过20万元至50万元的部分，按照1.5%交纳；5.超过50万元至100万元的部分，按照1%交纳；6.超过100万元至200万元的部分，按照0.9%交纳；7.超过200万元至500万元的部分，按照0.8%交纳；8.超过500万元至1000万元的部分，按照0.7%交纳；9.超过1000万元至2000万元的部分，按照0.6%交纳；10.超过2000万元的部分，按照0.5%交纳。非财产案件标准1.离婚案件每件交纳50元至300元。涉及财产分割，财产总额不超过20万元的，不另行交纳；超过20万元的部分，按照0.5%交纳。2.侵害姓名权、名称权、肖像权、名誉权、荣誉权以及其他人格权的案件，每件交纳100元至500元。涉及损害赔偿，赔偿金额不超过5万元的，不另行交纳；超过5万元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。3.其他非财产案件每件交纳50元至100元。（三）知识产权民事案件，没有争议金额或者价额的，每件交纳500元至1000元；有争议金额或者价额的，按照财产案件的标准交纳。（四）劳动争议案件每件交纳10元。（五）行政案件按照下列标准交纳：1.商标、专利、海事行政案件每件交纳100元；2.其他行政案件每件交纳50元。（六）当事人提出案件管辖权异议，异议不成立的，每件交纳50元至100元。省、自治区、直辖市人民政府可以结合本地实际情况在本条第（二）项、第（三）项、第（六）项规定的幅度内制定具体交纳标准。
证据不足可以起诉对方吗,当然可以起诉了，起诉是一项权利。不过证据不足，胜诉的可能性比较小。
被告人的案件受理费怎么交，交给谁啊到那里交,案件受理费标准由案件的性质和标准决定，如财产案件标的一万无以下的受理费为五十元，离婚案件每件交纳50元至300元，具体看案件的实际情况，可参考《诉讼费用缴纳办法》。案件受理费缴纳的方式：法院受理案件后，会出具受理案件的通知书，上面有应交的费用和银行账号，并规定于七日内缴纳。当事人在银行缴纳了受理费后，将银行出具相关单据交给法院即可。
"运费8年没付,起诉法院受理吗?",一般不可以了，对物的起诉，诉讼时效为3年。看案件有没有其他情况导致不能起诉，不知要起诉等。
车祸20个月后，要求赔偿整容费，法院会受理吗,"从责任方拒绝赔偿开始算起,人伤一年,物损两年的诉讼时效。但是证据比较重要，法院看证据。"
咨询律师怎么收费，就单纯的先,咨询可分为：现场口头咨询、当事人提供案件材料后律师提供咨询意见及法律方案；法律咨询是指提供法律知识问题的解答。由于法律的复杂性，非专业人士在遇到法律问题时，往往需要求助于律师一类的法律专业人士。律师收咨询费按计时收费，根据案件的复杂性和工作量及各地区不一样，知名度高的收费会高点，这个你要和律师协商，一般都是协商制。通常会根据问题的难易程度及回答问题所耗费的时间、精力评估收取费用。
哪些情形下不能撤回起诉，撤回起诉的程序是什么,撤回起诉的条件是：具有下列条件之一的，可以要求撤回起诉：（1）发现不存在犯罪事实；（2）发现犯罪事实并非被告人所为；（3）发现不应当追究刑事责任。撤回起诉的程序是：撤回起诉的决定应当报经检*长或者检*委员会决定，并以书面方式在宣告判决前向人*法*提出。在开庭审理中，人*检**要求撤回起诉的，是否准许由人*法*决定。法律依据：刑事诉讼法第十五条；《人*检**刑事诉讼规则》第三百五十一条；最*人*法*《关于执行〈中华人*共和国刑事诉讼法〉若干问题的解释》第一百六十九条。
想问一下分割财产如何计算律师收费,各地区有一定差异，大致如下：⑴无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；⑵法律文书：代为撰写、修改、审查法律文书，根据法律文书的性质、难易程度、工作所需耗费时间等因素，每份文书在6##－2###元之间协商收费；⑶律师见证：根据法律文书的性质、所需时间等因素，按每件2###－1####元之间协商收费。⑷代办公证：律师代办公证的事务不同，每件15##－3###元之间协商收费；⑸律师函及法律意见书：为委托方出具律师函或法律意见书，根据相关事务难易程度、使用目的、工作所需耗费时间等因素协商收费，每份为15##－2####元之间协商收费。⑹律师调查：按调查事项协商收费。
在网上看到法宝在线的律师是先打赢了官司再收费是真的吗？,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
责任的话如何到法院起诉大概起诉费用要多,受理费标准（一）财产案件根据诉讼请求的金额或者价额，按照下列比例分段累计交纳：1.不超过1万元的，每件交纳50元；2.超过1万元至10万元的部分，按照2.5%交纳；3.超过10万元至20万元的部分，按照2%交纳；4.超过20万元至50万元的部分，按照1.5%交纳；5.超过50万元至100万元的部分，按照1%交纳；6.超过100万元至200万元的部分，按照0.9%交纳；7.超过200万元至500万元的部分，按照0.8%交纳；8.超过500万元至1000万元的部分，按照0.7%交纳；9.超过1000万元至2000万元的部分，按照0.6%交纳；10.超过2000万元的部分，按照0.5%交纳。非财产案件标准1.离婚案件每件交纳50元至300元。涉及财产分割，财产总额不超过20万元的，不另行交纳；超过20万元的部分，按照0.5%交纳。2.侵害姓名权、名称权、肖像权、名誉权、荣誉权以及其他人格权的案件，每件交纳100元至500元。涉及损害赔偿，赔偿金额不超过5万元的，不另行交纳；超过5万元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。3.其他非财产案件每件交纳50元至100元。（三）知识产权民事案件，没有争议金额或者价额的，每件交纳500元至1000元；有争议金额或者价额的，按照财产案件的标准交纳。（四）劳动争议案件每件交纳10元。（五）行政案件按照下列标准交纳：1.商标、专利、海事行政案件每件交纳100元；2.其他行政案件每件交纳50元。（六）当事人提出案件管辖权异议，异议不成立的，每件交纳50元至100元。省、自治区、直辖市人民政府可以结合本地实际情况在本条第（二）项、第（三）项、第（六）项规定的幅度内制定具体交纳标准。
二十多年前起诉到法院的经济案，现在在起诉能要回钱吗？,根据*法通则，最长诉讼时效为20年(*事案件)，如果是刑事案件，法定最*刑为无期徒刑或者死刑的才有可能有起诉可能(注意是可能，需要报请最*人*检*院审批)最长诉讼时效。最长诉讼时效为二十年。诉讼时效丧失就丧失胜诉的可能性，也就是丧失了起诉的意义了。参考资料：百度百科诉讼时效和刑事诉讼时效
二十多年前5万元起诉的案子没给，现起诉有用吗，,根据*法通则，最长诉讼时效为20年(*事案件)，如果是刑事案件，法定最*刑为无期徒刑或者死刑的才有可能有起诉可能(注意是可能，需要报请最*人*检*院审批)最长诉讼时效。最长诉讼时效为二十年。诉讼时效丧失就丧失胜诉的可能性，也就是丧失了起诉的意义了。参考资料：百度百科诉讼时效和刑事诉讼时效
起诉老赖该怎么样写起诉书,追讨欠款起诉书范*原告：###(姓名)，###(性别)，###x年xx月xx日，汉族，*化程度###x，工作单位###x，职位###x，住址：###############x被告：###(姓名)，###(性别)，###x(姓名)，###x年xx月xx日，汉族，*化程度###x，工作单位###x，职位###x，住址：###############x请求事项：1、判决被告偿还欠款###元及利息###元。2、判决被告承担本案全部诉讼费用。事实和理由：200*年*月*日，债务人***从原告处借走人民币x万元，并当场向原告写下欠条一份。然而，到还款日期后，被告以各种理由和借口迟迟不肯偿还债务，其行为严重损害了原告的合法权益。现诉请法院判决被告###偿还原告###人民币x万元，并支付利息，以维护原告合法权益。此致###x人民法院原告：######x年x月xx日附：一、本诉状副本x份(按被告人数确定份数);
不会写起诉状，有没有专写起诉状的人,起草法律文书一般按件收费。各地区有一定差异，大致如下：⑴无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；⑵法律文书：代为撰写、修改、审查法律文书，根据法律文书的性质、难易程度、工作所需耗费时间等因素，每份文书在6##－2###元之间协商收费；⑶律师见证：根据法律文书的性质、所需时间等因素，按每件2###－1####元之间协商收费。⑷代办公证：律师代办公证的事务不同，每件15##－3###元之间协商收费；⑸律师函及法律意见书：为委托方出具律师函或法律意见书，根据相关事务难易程度、使用目的、工作所需耗费时间等因素协商收费，每份为15##－2####元之间协商收费。⑹律师调查：按调查事项协商收费。
欠工程款不给怎样起诉,1、通过电话和函件催收。经常给施工方公司去个电话，询问工程款进度，并且注意做好录音工作，防止对方钻法律空子，提前保留证据，有备无患。必要时通过挂号信的方法给对方公司发催收函并留底，以阻断时效。2、亲自到对方公司上门催收。如果电话和函件效果不理想，就应该经常去对方公司上门催收，可能刚好哪天碰到老板心情好大笔一挥给你签字结款也是有可能的，所以应该积极主动上门。3、委托律师代为催收。如果自己手段方法不凑效或者精力有限，可以委托专业律师处理，他们会用他们所学的专业知道帮你排忧解难。4、委托正规合法的催债公司催收。除了律师，现在也有一些靠专门收债的公司，不过找这种公司要注意找正规的公司，对其催收手段也应了解，如果是非法手段则不能委托。5、向法院提起诉讼，提供担保冻结对方资产。如果协商、催收函等各种方法都试过仍不凑效的情况，可以向法院提起诉讼，如果想掌握主动权，最好是提供相应的担保请求法院冻结对方相应的资产，以免赢了官司输了钱。6、通过媒体向欠债公司施加压力。如果对方公司是比较由影响力的大公司，对社会舆论会比较忌惮，这样的情况下可以寻求媒体的帮助，制造一些舆论压力给施工方也许能收到奇效。
起诉他吗起诉费用是多少，我有借钱的截图用,受理费标准（一）财产案件根据诉讼请求的金额或者价额，按照下列比例分段累计交纳：1.不超过1万元的，每件交纳50元；2.超过1万元至10万元的部分，按照2.5%交纳；3.超过10万元至20万元的部分，按照2%交纳；4.超过20万元至50万元的部分，按照1.5%交纳；5.超过50万元至100万元的部分，按照1%交纳；6.超过100万元至200万元的部分，按照0.9%交纳；7.超过200万元至500万元的部分，按照0.8%交纳；8.超过500万元至1000万元的部分，按照0.7%交纳；9.超过1000万元至2000万元的部分，按照0.6%交纳；10.超过2000万元的部分，按照0.5%交纳。非财产案件标准1.离婚案件每件交纳50元至300元。涉及财产分割，财产总额不超过20万元的，不另行交纳；超过20万元的部分，按照0.5%交纳。2.侵害姓名权、名称权、肖像权、名誉权、荣誉权以及其他人格权的案件，每件交纳100元至500元。涉及损害赔偿，赔偿金额不超过5万元的，不另行交纳；超过5万元至10万元的部分，按照1%交纳；超过10万元的部分，按照0.5%交纳。3.其他非财产案件每件交纳50元至100元。（三）知识产权民事案件，没有争议金额或者价额的，每件交纳500元至1000元；有争议金额或者价额的，按照财产案件的标准交纳。（四）劳动争议案件每件交纳10元。（五）行政案件按照下列标准交纳：1.商标、专利、海事行政案件每件交纳100元；2.其他行政案件每件交纳50元。（六）当事人提出案件管辖权异议，异议不成立的，每件交纳50元至100元。省、自治区、直辖市人民政府可以结合本地实际情况在本条第（二）项、第（三）项、第（六）项规定的幅度内制定具体交纳标准。
通*区劳动仲裁律师怎么收费,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
北京婚姻家庭律师的收费是怎么样的,刑事案件请一个律师大概需要多少钱?具体要看律师事务所的收费，如：(一)刑事案件收费按照各办案阶段分别计件确定收费标准。1、侦查阶段，每件收费2###—1####元。2、审查起诉阶段，每件收费2###—1####元。3、一审阶段，每件收费4###—3####元。4、上述收费标准下浮不限。(二)二审、死刑复核、再审、申诉案件以及刑事自诉案件按照一审阶段的收费标准收取律师服务费。(三)一个律师事务所代理一个案件的多个阶段，自第二阶段起酌减收费。(四)被害人提起刑事附带民事诉讼案件的，按照民事诉讼案件收费标准收取律师服务费。(五)犯罪嫌疑人、被告人同时涉及几个罪名或者数起犯罪事实的，可按照所涉罪名或犯罪事实分别计件收取。
一般就找律师写赔偿明细表是怎样收费的,起草法律文书一般按件收费。各地区有一定差异，大致如下：⑴无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；⑵法律文书：代为撰写、修改、审查法律文书，根据法律文书的性质、难易程度、工作所需耗费时间等因素，每份文书在6##－2###元之间协商收费；⑶律师见证：根据法律文书的性质、所需时间等因素，按每件2###－1####元之间协商收费。⑷代办公证：律师代办公证的事务不同，每件15##－3###元之间协商收费；⑸律师函及法律意见书：为委托方出具律师函或法律意见书，根据相关事务难易程度、使用目的、工作所需耗费时间等因素协商收费，每份为15##－2####元之间协商收费。⑹律师调查：按调查事项协商收费。
桐*请民事律师怎么收费,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
请律师起草赔偿协议一般如何收费,起草法律文书一般按件收费。各地区有一定差异，大致如下：⑴无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；⑵法律文书：代为撰写、修改、审查法律文书，根据法律文书的性质、难易程度、工作所需耗费时间等因素，每份文书在6##－2###元之间协商收费；⑶律师见证：根据法律文书的性质、所需时间等因素，按每件2###－1####元之间协商收费。⑷代办公证：律师代办公证的事务不同，每件15##－3###元之间协商收费；⑸律师函及法律意见书：为委托方出具律师函或法律意见书，根据相关事务难易程度、使用目的、工作所需耗费时间等因素协商收费，每份为15##－2####元之间协商收费。⑹律师调查：按调查事项协商收费。
取保候审请律师多少钱专业取保候审律师谢*,刑事案件请一个律师大概需要多少钱?具体要看律师事务所的收费，如：(一)刑事案件收费按照各办案阶段分别计件确定收费标准。1、侦查阶段，每件收费2###—1####元。2、审查起诉阶段，每件收费2###—1####元。3、一审阶段，每件收费4###—3####元。4、上述收费标准下浮不限。(二)二审、死刑复核、再审、申诉案件以及刑事自诉案件按照一审阶段的收费标准收取律师服务费。(三)一个律师事务所代理一个案件的多个阶段，自第二阶段起酌减收费。(四)被害人提起刑事附带民事诉讼案件的，按照民事诉讼案件收费标准收取律师服务费。(五)犯罪嫌疑人、被告人同时涉及几个罪名或者数起犯罪事实的，可按照所涉罪名或犯罪事实分别计件收取。
聚众斗殴罪律师收费是怎样的呢,刑事案件请一个律师大概需要多少钱?具体要看律师事务所的收费，如：(一)刑事案件收费按照各办案阶段分别计件确定收费标准。1、侦查阶段，每件收费2###—1####元。2、审查起诉阶段，每件收费2###—1####元。3、一审阶段，每件收费4###—3####元。4、上述收费标准下浮不限。(二)二审、死刑复核、再审、申诉案件以及刑事自诉案件按照一审阶段的收费标准收取律师服务费。(三)一个律师事务所代理一个案件的多个阶段，自第二阶段起酌减收费。(四)被害人提起刑事附带民事诉讼案件的，按照民事诉讼案件收费标准收取律师服务费。(五)犯罪嫌疑人、被告人同时涉及几个罪名或者数起犯罪事实的，可按照所涉罪名或犯罪事实分别计件收取。
工伤赔偿律师怎么收费,刑事案件请一个律师大概需要多少钱?具体要看律师事务所的收费，如：(一)刑事案件收费按照各办案阶段分别计件确定收费标准。1、侦查阶段，每件收费2###—1####元。2、审查起诉阶段，每件收费2###—1####元。3、一审阶段，每件收费4###—3####元。4、上述收费标准下浮不限。(二)二审、死刑复核、再审、申诉案件以及刑事自诉案件按照一审阶段的收费标准收取律师服务费。(三)一个律师事务所代理一个案件的多个阶段，自第二阶段起酌减收费。(四)被害人提起刑事附带民事诉讼案件的，按照民事诉讼案件收费标准收取律师服务费。(五)犯罪嫌疑人、被告人同时涉及几个罪名或者数起犯罪事实的，可按照所涉罪名或犯罪事实分别计件收取。
北*律师是怎么收费的,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
了.我想咨询下律师怎么收费的,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
找家庭律师，一半律师费要多少钱,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
北*口碑好的律师如何收费,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
我男朋友打架被抓了我想请律师怎么收费的,刑事案件请一个律师大概需要多少钱?具体要看律师事务所的收费，如：(一)刑事案件收费按照各办案阶段分别计件确定收费标准。1、侦查阶段，每件收费2###—1####元。2、审查起诉阶段，每件收费2###—1####元。3、一审阶段，每件收费4###—3####元。4、上述收费标准下浮不限。(二)二审、死刑复核、再审、申诉案件以及刑事自诉案件按照一审阶段的收费标准收取律师服务费。(三)一个律师事务所代理一个案件的多个阶段，自第二阶段起酌减收费。(四)被害人提起刑事附带民事诉讼案件的，按照民事诉讼案件收费标准收取律师服务费。(五)犯罪嫌疑人、被告人同时涉及几个罪名或者数起犯罪事实的，可按照所涉罪名或犯罪事实分别计件收取。
什么样的律师收费低？,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
非诉讼赔偿案件律师是怎样收费的,各地区有一定差异，大致如下：无财产争议案件：普通民事、经济、行政案件，不涉及财产的，根据案件性质、复杂程度、工作所需耗费时间等因素，在6###—1#####元之间协商收取；外地民事、经济、行政案件不涉及财产的，代理费不低于2####元；律师代理分为以下几种第一种：一般代理。依律师职业道德为当事人代理案件，维护当事人权利。一般为纠纷标的的3-5%。标的高的话也可以低于该比例。第二种：风险代理。按胜诉金额或以得到的金额的百分比支付代理费，或按减少的支付额的百分比支付代理费，比例当然高于一般代理。第三种：半风险代理。给一定的基本费用，其他的再按风险代理计算，当然就介于一般代理和风险代理的比例之间。
我朋友骑摩托被一辆轿车撞，现在在医院，肇事车主又说在出差，可是我朋友是无证骑的车，该怎么办？&#1,楼主朋友无证驾驶机动车上路，触犯了《道路交通安全法》，要承担违法责任，受到相应处罚：1、罚款2000元；2、拘留15天；3、暂扣车辆，凭合法手续领回。若逾期未能领回，所扣车辆将被拍卖，所得款项上缴国库。其次，具体责任划分要看交警给出的书面文件。不过一般是轿车负的责任大
我是去年酒驾，压驾驶本半年，我今天考科目一，没有过，请问我今天还能约下次科目一…,一般一次没有通过考试的，要十天后再预约的。如果当时当地有科目一考试的空位置，可以当场申请补考。每个科目考试一次，考试不合格的，可以补考一次。不参加补考或者补考仍不合格的，本次考试终止，申请人应当重新预约考试，但科目二、科目三考试应当在十日后预约。
